Mandan   Mandan_AC_CT_34N
Mandan   Mandan_AC_CT_67N
Mandan   Mandan_AC_CT_101N
Mandan   Mandan_AC_MT_34N
Mandan   Mandan_AC_MT_67N
Mandan   Mandan_AC_MT_101N
Mandan   Mandan_AC_NT_34N
Mandan   Mandan_AC_NT_67N
Mandan   Mandan_AC_NT_101N
Mandan   Mandan_SWF_CT_0N
Mandan   Mandan_SWF_CT_22N
Mandan   Mandan_SWF_CT_45N
Mandan   Mandan_SWF_MT_0N
Mandan   Mandan_SWF_MT_22N
Mandan   Mandan_SWF_MT_45N
Mandan   Mandan_SWF_NT_0N
Mandan   Mandan_SWF_NT_22N
Mandan   Mandan_SWF_NT_45N

simulation period: 1983-1996
obs: 1990-1996
